,Position,Company,Location,clean
10,SAP Asset Management Application Developer,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Application Developer Project Role Description Design build and configure applications to meet business process and application requirements Management Level 10 Work Experience 4 6 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities A Worked in S4 HANA Accounting with Asset Accounting B Understand on Nordics Country Char of Depreciation with different Dep Areas including Country specific Tax depreciation Area C Understand the settlements process from Project systems to Asset accounting D Worked in RICEFW objects E Worked in LSMW tool for asset conversions etc F Understand end to end Asset accounting business processes including Period closure Monthly Qtrly Yearly Technical Experience A Performs analysis conceptual design configuration and implementation of design in financial space Exposure to Workday Financial Functional Areas such as Core Financials Banking and Settlement and Budgets Procurement Supplier Accounts Inventory Projects Business Assets Expenses Foundation Data Model design Must have exposure to business process in Procure to Pay Order to Cash FDM and Record to Report area Has an understanding of the year end processes in Finance Experience in config Professional Attributes A Good verbal written communication skills to connect with customers at varying levels of the organization B Ability to operate independently and make decisions with little direct supervision 15 years of full time education
11,SAP SuccessFactors Employee Central Payroll Application Developer,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Application Developer Project Role Description Design build and configure applications to meet business process and application requirements Management Level 10 Work Experience 4 6 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities Understand Business process analyze identify system limitations and requirement gaps Interact with the client for solution playbacks requirement clarifications Design build and configure application to meet business process Write configuration workbook and Functional specification documents Develop Test scenarios scripts cases and data Support cutover document preparation Go live activities and Hypercare support Lead a small team of 2 5 Technical Experience 1Strong Proficiency in SF EC Payroll SAP HCM Payroll 2Integration between EC and ECP Point to Point Replication EC on premise BIB Payroll Control Center EC Time off ECP WFS 3Expertise on Payroll Schemas Postings to G or L Accounts Bank Transfer setup 4Knowledge of Integration of data to 3 party vendor for payroll processing such as ADP 5Parallel payroll experience 6Any country specific payroll legal and statutory regulations Professional Attributes Should have good communcation skill and should be able to interact with client Educational Qualification Min 15 years full time education BTech MBA HR Additional Information Ability to work across different shift as per the business requirement 15 years of full time education
12,Industry X - Aero Engineering - Stress Analysis - 11,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations Services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at www accenture com About Industry X Industry X combines Accenture s powerful digital capabilities with deep engineering and manufacturing expertise We use the power of data and digital to help our clients reimagine the products they make and how they make them By connecting engineering and manufacturing operations every step of the way from how products are designed and engineered sourced and supplied manufactured to how they are serviced and renewed we help them achieve greater productivity drive growth and meet their sustainability commitments Role Static Structural Stress Analysis BE M Tech in Mechanical Aerospace Aeronautical Engineering or relevant subject Minimum 2 years of Experience Knowledge and experience in sizing and certification of airframes and vehicle systems including expertise in one or more of Previous Experience on A350XWB Door Surround Structures Side shells and PAX floors Good knowledge of airframe static stress analysis techniques including analytical calculation methods finite element techniques derivation of material and component allowable FE Model Validation and Report Preparation Optimize and evaluate strength and durability of respective components Strong understanding of Engineering Drawing Strong technical aptitude including applicable engineering tools and systems ISAMI Hypermesh NASTRAN PATRAN MS Office Strong Technical Report Stress Dossier writing skills Execute Analysis of the Components of A350XWB to support the DEFM Certification milestones Ability to work in a team of stress engineers with guidance from Lead stress Engineer Supporting continuous improvement initiatives to increase team efficiency Ability to liaise and with the teams across the department including Design and Stress Perform and properly interpret calculations including manual calculations Compliance with customers and airworthiness authorities static requirements Having VBA Python programming is an added advantage
13,Service Desk Management Application Tech Support Practitioner,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Application Tech Support Practitioner Project Role Description Act as the ongoing interface between the client and the system or application Dedicated to quality using exceptional communication skills to keep our world class systems running Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge Management Level 12 Work Experience 1 2 5 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities a L1 Service Desk Call taking profile b Respond to the issues reported by customer predominantly through voice and emails chat etc c Identify investigate and diagnose the issue d Provide resolution to customer based on inscope processes e Follows the incident life cycle as defined by process log the incident categorize and document resolve or assign the incident to relevant assignment group f Achieve client and Accenture defined targets Technical Experience a Incident management and usage of ticketing tools b Knowledge on O365 MS OFFICE Suite Active Directory Hardware and Software related troubleshooting skills c One to three years of experience d Minimum one year of experience in Service Desk domain supporting global customers Professional Attributes a Excellent verbal and written communication skills with email etiquette and customer service skills b 24x7 Support mostly night shifts and rotation is ONLY as per project requirement c 5 days working per week with two weekly offs based on roster Educational Qualification a Bachelors degree Additional Information Flexibility to work on weekends and Indian holidays 15 years of full time education
14,Bus Process Delivery Associate-Risk and compliance,Accenture in India,"Bengaluru, Karnataka, India",Skill required Risk and compliance Risk Management Designation Management Level Associate Job Location Bengaluru Qualifications Any Graduation Years of Experience 1 to 3 years About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at www accenture com What would you do The Software and Platform vertical helps the world s leading platform companies accelerate scale and improve their businesses as their most trusted innovative comprehensive and experienced partner You will be working as a part of the Risk compliance team which is responsible for helping clients and organizations identify risks and create mitigation plans In Risk Management you will be responsible for anticipating plan for and react to risks and issues to the project including categorizing their severity taking into account the likelihood of occurrence mitigation contingency planning You will be expected to follow an agile approach that builds risk management into scrum roles artifacts and events and helps in continuous project delivery What are we looking for Ability to meet deadlines Adaptable and flexible Agility for quick learning Written and verbal communication Problem solving skills Transactional Processing Research Verification and Analysis Maintain quality Standards apply policies and controls as per guidelines Operate in 10x5 Operations Understand and act in compliance with Accenture and its client policies and procedures on Data Protection It would be a value add if you are proficient in Know Your Customer KYC and Screening Operations Know Your Customer KYC Operations Processing High Medium and Low Risk cases of corporate or retail customers of a bank or financial institution to fulfill geo specific regulatory Know Your Customer requirements Customer Screening Business and regulatory requirements process and system controls for screening customer business entity this includes Sanctions Screening Politically Exposed Person PEP and Adverse Media along with customer name and payment screening Effective Verbal Communications Ability to verbally engage in a concise manner with stakeholders to share opinions or information to convey meaning construct shared understanding or promote action Effective Written Communications Create deliver or exchange concise written documentation with thoughts opinions or information to convey meaning construct shared understanding or promote action Provide clear meaning to the audience by using correct grammar sentence structure punctuation and style You will be required to help in the overall team s workload by managing your deliverables and help the team when required Roles And Responsibilities In this role you are required to solve routine problems largely through precedent and referral to general guidelines Your expected interactions are within your own team and direct supervisor You will be provided detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments The decisions that you make would impact your own work You will be an individual contributor as a part of a team with a predetermined focused scope of work Please note that this role may require you to work in rotational shifts Any Graduation
15,Data Analyst(Oracle Pl/SQL),GFL Recruitment Private Limited,"Bengaluru, Karnataka, India",Experience 06 to 2 years Location Vadodara India Salary 1 2 LPA to 2 4 LPA Full time The company looks forward to hiring candidates with stability minimum one year and zeal to learn and grow This job is provided by Shine com
16,SAP ABAP Development for HANA Application Designer,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Application Designer Project Role Description Assist in defining requirements and designing applications to meet business process and application requirements Management Level 9 Work Experience 6 8 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities A Work on continuous improvements enhancements b Support Key users functional consultants on day to day issues c Work closely together with functional consultants and business key users d Meet established KPIs set by the Delivery lead Delivery manager e Manage new developments and maintain the existing SAP Solution Handle ABAP resources Technical Experience a Strong technical knowledge in SAP ABAP development and Object Oriented Programming Concepts b Strong technical expertise in core ABAP Reports Interactive Reporting IDOC Interface c Good functional understanding of Utilities and SAP ABAP for HANA Professional Attributes A Effective communication skills B Good working knowledge of MS Excel and PowerPoint C Ability to work independently with little supervision Educational Qualification A BE GRADUATE Additional Information N A 15 years of full time education
17,Insurance Enabling Technologies - Guidewire Developer - Senior Associate - Bangalore,PwC Acceleration Centers,"Bengaluru, Karnataka, India",Line of Service Advisory Industry Sector Insurance Specialism Functional Industry Apps Management Level Senior Associate Job Description Summary A career in our Advisory Acceleration Centre is the natural extension of PwC s leading class global delivery capabilities We provide premium cost effective high quality services that support process quality and delivery capability in support for client engagements To really stand out and make us fit for the future in a constantly changing world each and every one of us at PwC needs to be a purpose led and values driven leader at every level To help us achieve this we have the PwC Professional our global leadership development framework It gives us a single set of expectations across our lines geographies and career paths and provides transparency on the skills we need as individuals to be successful and progress in our careers now and in the future Responsibilities PwC Professional skills and responsibilities for this management level include but are not limited to As a Senior Associate you ll work as part of a team of problem solvers helping to solve complex business issues from strategy to execution Use feedback and reflection to develop self awareness personal strengths and address development areas Delegate to others to provide stretch opportunities coaching them to deliver results Demonstrate critical thinking and the ability to bring order to unstructured problems Use a broad range of tools and techniques to extract insights from current industry or sector trends Review your work and that of others for quality accuracy and relevance Know how and when to use tools available for a given situation and can explain the reasons for this choice Seek and embrace opportunities which give exposure to different situations environments and perspectives Use straightforward communication in a structured way when influencing and connecting with others Able to read situations and modify behavior to build quality relationships Uphold the firm s code of ethics and business conduct Experience range 5 10 years Educational qualification BTech BE MTech MS MCA MBA Skills Hands on experience in atleast one of the Guidewire products ClaimCenter PolicyCenter BillingCenter Well versed in one of streams configuration integration conversion Strong knowledge in Guidewire platform Gosu scripting UI Data Model Good knowledge in Webservices XML and ant script Experience on any database Oracle SQL Server and well versed in SQL Exposure to SCM tool such as GIT TFS SVN etc Good knowledge of any servers containers such as Tomcat JBoss Websphere Exposure to cloud technolgies such as AWS Azure Good written and oral communication Excellent analytical skill Experience in Agile SCRUM or SAFe methodology Insurance domain knowledge Sound knowledge in software architecture and design patterns Must have estimation team leading code review and mentoring skills At least two Guidewire implementations Good estimation skills Good to have skills MuleSoft Spring Hibernate Education if blank degree and or field of study not specified Degrees Field Of Study Required Degrees Field of Study preferred Certifications if blank certifications not specified Required Skills Optional Skills Desired Languages If blank desired languages not specified Travel Requirements Not Specified Available for Work Visa Sponsorship No Government Clearance Required No Job Posting End Date
18,SAP S4 Hana Embedded Analytics I 4 to 6 years I Mumbai & Bengaluru,Capgemini,"Bengaluru, Karnataka, India",Over 4 years in SAP BI with 2 end to end project implementation experience with very good Finance Supply Chain domain experience Hands on in SQL BW ABAP CDS HANA Modelling BI Data Information Modelling SAP BO Reporting Data Visualization Good Knowledge of Smart Business KPI modeler KPI Workspace ALP Analytical list pages using Fiori Elements APF Analysis path Framework Overview pages Fiori Elements Custom Analytical Queries Multi Dimensional report Data Functions Reporting Security and Authorization concepts in S 4 HANA Experience in S4H Project POC with hands on development of virtual CDS data models and Fiori Experience in SAP BW 4 HANA Hands on experience in SAP Analytics Cloud Power BI Primary Skill SAP S 4 Hana Embedded Analytics Secondary Skill Good Communication 
19,Industry X - Aero Engineering - Stress Analysis - 12,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations Services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at www accenture com Entity Accenture Industry X Team Aero Engineering Job location Bangalore Career Level 12 Associate About Industry X Industry X combines Accenture s powerful digital capabilities with deep engineering and manufacturing expertise We use the power of data and digital to help our clients reimagine the products they make and how they make them By connecting engineering and manufacturing operations every step of the way from how products are designed and engineered sourced and supplied manufactured to how they are serviced and renewed we help them achieve greater productivity drive growth and meet their sustainability commitments Desired candidate profile Overall experience of at least 0 1 year Good knowledge of Aero engineering Strong knowledge in Strength of Materials and Engineering Mechanics Basic Knowledge on FEM FEA Basic Knowledge on FE tools like ANSYS NASTRAN PATRAN Hypermesh and Hyperview Excel VBA Python or automation skills will be an added advantage B E M Tech Mechanical Aerospace Good Academic Record
